School,District,Score,Avg. Score
Miller Park,Coquitlam,5.6,5.8
Puntledge Park,Courtenay,5.6,5.7
Edgehill,Powell River,5.6,5.5
Godson,Abbotsford,5.6,5.4
Green Timbers,Surrey,5.6,5.4
Marion Schilling,Kamloops,5.6,5.2
Strawberry Hill,Surrey,5.6,5.1
Wishart,Victoria,5.6,5.1
Qualicum Beach,Qualicum Beach,5.6,5
Raft River,Clearwater,5.6,4.9
Bert Edwards,Kamloops,5.6,4.4
Harrison Hot Springs,Harrison Hot Springs,5.6,n/a
Peden Hill,Prince George,5.6,n/a
East Chilliwack,Chilliwack,5.5,6.9
Harry Sayers,Abbotsford,5.5,6.2
Robert L Clemitson,Kamloops,5.5,6.2
Braefoot,Victoria,5.5,6.1
Chilcotin Road,Williams Lake,5.5,6
Captain James Cook,Vancouver,5.5,5.9
Cougar Creek,Surrey,5.5,5.8
Fruitvale,Fruitvale,5.5,5.7
Golden Ears,Maple Ridge,5.5,5.7
Harold Bishop,Surrey,5.5,5.7
Harwood,Vernon,5.5,5.7
Armstrong,Burnaby,5.5,5.6
Helen Gorman,Westbank,5.5,5.5
Parkland,Coquitlam,5.5,5.5
Tillicum,Victoria,5.5,5.4
100 Mile House,100 Mile House,5.5,5.3
Strathcona,Chilliwack,5.5,5.3
Surrey Traditional,Surrey,5.5,5.3
Ladner,Delta,5.5,5.2
Jarvis,Delta,5.5,5.1
Sir Alexander MacKenzie,Vancouver,5.5,4.9
James Bay,Victoria,5.5,4.6
Parkcrest,Kamloops,5.5,4.6
Pionniers,Port Coquitlam,5.5,4.3
Senator Reid,Surrey,5.5,3.9
Hjorth Road,Surrey,5.5,3.5
Brent Kennedy,Crescent Valley,5.5,n/a
Hyland,Surrey,5.5,n/a
Lighthouse Christian Academy,Victoria,5.5,n/a
Stawamus,Squamish,5.5,n/a
Taylor,Taylor,5.5,n/a
Castle Park,Port Coquitlam,5.4,6.6
Nanaimo Christian,Nanaimo,5.4,6.6
Maple Green,Surrey,5.4,5.9
William Bridge,Richmond,5.4,5.9
Hampton Park,Coquitlam,5.4,5.8
Rosedale Traditional,Rosedale,5.4,5.8
Centennial Park,Abbotsford,5.4,5.4
College Heights,Prince George,5.4,5.4
Cloverdale,Victoria,5.4,5.3
Hawthorne,Delta,5.4,5.3
Haldane,Chase,5.4,5.2
Mountview,Williams Lake,5.4,5.2
Squamish,Squamish,5.4,5.2
Arthur Hatton,Kamloops,5.4,5.1
Huband Park,Courtenay,5.4,5.1
North Glenmore,Kelowna,5.4,5.1
Albert McMahon,Mission,5.4,5
Lord Kelvin,New Westminster,5.4,5
Alberni,Port Alberni,5.4,4.5
J T Brown,Surrey,5.4,4.5
Crystal View,Victoria,5.4,n/a
Jaffray,Jaffray,5.4,n/a
Royston,Royston,5.4,n/a
Confederation Park,Burnaby,5.3,5.9
Frank Ross,Dawson Creek,5.3,5.7
North Otter,Aldergrove,5.3,5.7
Second Street,Burnaby,5.3,5.3
Black Mountain,Kelowna,5.3,5.2
Blue Jay,Abbotsford,5.3,5.1
Parkside Centennial,Aldergrove,5.3,5
T E Scott,Surrey,5.3,5
Mary Jane Shannon,Surrey,5.3,4.9
McCloskey,Delta,5.3,4.9
Sir James Douglas,Vancouver,5.3,4.9
Christine Morrison,Mission,5.3,4.8
